month_day,n_years_with_data,tmax_record_high,tmax_record_high_years,tmax_record_low,tmax_record_low_years,tmean_record_high,tmean_record_high_years,tmean_record_low,tmean_record_low_years,tmin_record_high,tmin_record_high_years,tmin_record_low,tmin_record_low_years,precip_record_high,precip_record_high_years
06-07,153,32.8,2020,16.2,2001,26.5,1924,13.3,1889,20.7,2019,8.8,1930,68.1,1970
06-08,153,33.4,1969,16.3,1937,27.4,2020,13.0,"1889, 1937",24.1,2020,10.2,1911,66.8,1958
06-09,153,31.9,1969,13.8,1937,25.4,"1969, 1990",11.9,1937,22.0,1984,9.7,1962,94.9,1937
06-10,153,32.0,2020,14.7,1937,26.2,1932,12.7,1918,20.9,1944,9.4,1918,63.9,1984
06-11,153,35.2,2002,17.6,1976,26.3,2020,14.0,1976,29.0,1924,9.8,1958,74.5,1886
06-12,153,31.1,2002,18.7,1917,25.9,2019,14.3,1976,23.0,2019,9.4,2004,84.2,1950
06-13,153,33.8,1905,17.2,1966,26.8,1905,13.7,1966,22.4,1891,10.4,1976,42.7,1929
06-14,153,35.0,2012,16.8,1966,27.8,2012,13.4,1929,22.4,2010,10.1,1929,62.3,1905
06-15,153,34.1,2012,17.0,1952,26.7,2012,12.6,1966,24.2,2012,10.0,1966,59.9,1988
06-16,153,31.5,1926,17.2,1966,26.3,1926,13.8,1966,21.9,2018,11.4,1984,74.8,1988
06-17,153,31.5,"1924, 1941",18.9,1919,27.4,1924,14.6,1911,21.4,1906,10.7,1929,33.0,1944
06-18,153,31.1,2012,18.1,1911,25.5,"1924, 2019",14.5,1911,21.5,"1924, 2019",11.3,1911,51.5,2002
06-19,153,31.2,1932,16.6,1919,26.7,1941,15.2,1919,22.4,1941,9.8,1911,79.4,2007
06-20,153,32.6,1972,19.0,"1911, 1919",27.1,1972,14.8,2000,23.2,"1932, 1972",10.9,1958,76.0,1895
06-21,153,33.2,1920,17.0,1919,26.5,1924,14.8,1919,23.0,1998,9.7,2000,65.2,1985
06-22,153,32.7,1948,18.6,1898,27.0,1948,14.7,1898,23.0,1891,11.6,1978,60.8,2019
06-23,153,34.0,1942,16.4,1910,29.4,1942,14.1,1910,23.5,1901,10.4,1910,53.8,2022
06-24,153,33.0,1901,20.1,1910,26.8,1901,15.7,1910,22.5,1901,11.0,1898,53.5,1883
06-25,153,33.2,2009,19.3,1988,26.8,2009,17.0,1945,22.3,2019,12.0,1971,135.6,1988
06-26,153,32.6,2009,19.1,1945,26.8,2019,14.8,1945,23.8,2019,11.6,1945,110.0,1889
06-27,153,31.9,2016,18.4,1990,27.8,2016,14.7,1990,23.7,2016,13.1,1990,55.7,1956
06-28,153,33.9,2018,19.2,1990,27.1,2018,15.4,1889,24.1,2016,12.9,1973,85.5,1950
06-29,153,34.6,1958,20.7,1925,27.8,2018,17.4,1889,23.8,2018,13.0,1899,68.1,1995
06-30,153,30.6,2024,21.0,1899,26.5,1880,14.9,1899,22.8,2018,11.6,2012,125.5,1891
07-01,153,35.2,1938,19.9,1995,27.6,1938,17.0,1899,23.4,2018,12.8,1969,97.7,1929
07-02,153,35.4,1938,20.7,2012,30.8,1938,17.1,1968,23.2,1971,12.8,1968,93.2,1955
07-03,153,33.8,1959,19.9,1982,27.9,2017,16.7,1982,23.0,1936,13.2,1908,98.0,1905
07-04,153,34.6,1945,19.8,1933,27.7,1954,16.8,1933,24.3,2017,13.2,1993,113.0,1888
07-05,153,33.9,1938,21.3,"1933, 1993",27.4,2024,16.6,1993,25.1,2024,13.8,1892,185.0,1875
07-06,153,32.7,"2003, 2020",21.5,1915,27.6,2020,17.0,1946,24.7,1991,12.9,1985,75.2,1972
07-07,153,33.9,2020,21.1,2006,28.5,2020,16.9,1896,24.3,1938,12.6,1982,103.5,1991
07-08,153,32.7,1978,22.3,1915,26.9,2020,16.9,1902,23.3,1938,13.0,1982,103.6,1981
07-09,153,32.1,"1898, 2002",21.1,1915,26.8,1999,17.3,1894,23.1,2010,13.4,1894,154.0,1896
07-10,153,34.6,1996,18.7,1902,28.9,1996,16.0,1902,24.1,2010,13.5,"1958, 1992",69.5,1889
07-11,153,34.4,1996,20.6,1958,28.9,1996,17.5,1958,24.2,2010,13.5,1992,100.8,1979
07-12,153,36.0,2014,19.4,1950,29.0,2014,17.8,1950,25.2,1996,14.4,"1952, 1992",124.4,1989
07-13,153,36.0,2014,20.9,1974,27.6,2009,17.2,1884,24.9,2014,13.9,1908,28.6,1902
07-14,153,32.1,2024,22.0,1974,27.6,1996,18.3,1974,24.9,1996,15.0,1924,95.1,2014
07-15,153,33.2,2024,22.2,2019,28.0,"1996, 2024",18.8,"1969, 1974",25.8,1996,14.2,1974,162.3,1997
07-16,153,32.8,2024,22.2,1902,28.0,1996,17.9,1881,26.0,1996,15.1,1997,71.7,1941
07-17,153,32.9,2024,21.8,1902,28.7,1880,17.8,1902,25.0,1996,15.0,1902,36.0,"1878, 1891"
07-18,153,34.6,1962,23.1,1969,28.3,2016,18.9,1977,25.3,2016,12.6,1902,137.0,1891
07-19,153,35.2,1934,21.4,1918,29.9,1934,18.1,1918,23.7,1962,14.4,1918,87.0,1895
07-20,153,33.5,"1968, 2002",23.2,1918,28.2,2002,19.2,"1918, 1932",23.7,1959,14.5,1918,90.6,1956
07-21,153,33.5,1981,22.6,1929,27.8,2002,18.6,1918,24.4,2021,14.2,1929,64.8,2014
07-22,153,34.2,2001,23.6,1924,28.6,2002,18.8,1924,24.5,1892,13.9,1924,61.0,1889
07-23,153,34.4,2012,21.9,1932,29.2,2012,19.1,1983,24.7,2012,15.0,"1924, 1956",76.5,2022
07-24,153,35.3,1966,20.2,1906,29.5,2012,16.9,1906,26.4,2012,14.3,1911,99.0,1996
07-25,153,34.3,1960,21.4,1911,28.3,2008,16.7,1985,25.4,2008,14.8,1985,55.6,2019
07-26,153,34.5,2012,21.7,1932,29.2,2012,17.6,1985,25.1,2007,14.6,1906,60.0,1889
