month_day,n_years_with_data,tmax_record_high,tmax_record_high_years,tmax_record_low,tmax_record_low_years,tmean_record_high,tmean_record_high_years,tmean_record_low,tmean_record_low_years,tmin_record_high,tmin_record_high_years,tmin_record_low,tmin_record_low_years,precip_record_high,precip_record_high_years
02-11,78,3.9,1998,-18.5,1956,2.6,2002,-23.1,1994,2.1,2002,-29.4,1969,10.9,1988
02-12,78,5.1,1990,-17.5,1985,2.7,1990,-22.6,"1949, 1994",1.4,2002,-29.4,1949,12.4,2021
02-13,78,3.5,"1972, 2002",-19.0,2012,2.2,1974,-23.8,2012,1.2,1974,-28.5,2012,17.6,2021
02-14,78,4.1,1960,-15.5,1953,2.6,2014,-20.4,1953,1.3,2014,-24.7,2012,35.5,1966
02-15,78,3.8,1952,-18.6,1979,2.4,2014,-24.4,1979,1.5,2014,-28.1,1951,15.2,1990
02-16,78,4.2,2019,-16.1,1954,2.3,2019,-21.6,1979,1.2,2019,-28.1,1979,19.4,2016
02-17,78,5.8,1957,-16.5,1954,3.6,2020,-19.9,2011,1.4,2020,-25.0,1953,13.5,1990
02-18,78,6.0,2020,-20.0,1954,4.8,2020,-24.0,1954,3.8,2020,-27.3,1954,10.9,1957
02-19,78,4.7,2020,-14.4,1951,3.6,2020,-20.5,1954,2.6,2020,-28.1,1954,7.9,1964
02-20,78,7.7,2020,-13.7,"1956, 1986",3.6,2020,-19.8,1950,1.6,2020,-27.9,1950,17.9,1957
02-21,78,7.8,2020,-16.9,1986,2.3,2020,-20.0,1986,0.9,2017,-24.1,1986,10.1,2010
02-22,78,6.7,2020,-18.2,2007,3.9,1990,-20.7,2007,2.5,"1990, 1998",-25.0,1956,10.6,2010
02-23,78,7.1,1998,-15.9,2021,4.5,1998,-19.7,2021,2.8,1998,-27.1,1956,10.0,2006
02-24,78,5.6,2015,-12.1,2021,3.7,1990,-18.1,1956,1.3,1990,-27.1,1956,9.7,1999
02-25,78,6.5,1990,-12.5,2011,5.4,1990,-15.4,2018,3.8,1990,-20.3,1987,9.9,1960
02-26,78,6.4,2021,-13.2,2018,4.9,1990,-17.3,2018,3.3,1990,-24.0,1964,15.4,1993
02-27,78,8.3,1989,-14.7,1951,4.9,1990,-18.6,1963,2.2,1990,-24.9,1963,9.2,"1957, 1993"
02-28,78,6.2,1998,-14.4,1983,3.9,2008,-17.6,1983,2.3,2008,-22.5,1962,8.4,"1953, 1989"
02-29,20,5.1,2000,-7.2,1964,3.1,2000,-12.0,1964,0.8,2000,-18.7,1964,2.4,"1952, 1960, 1968, 2008"
03-01,78,5.7,"2000, 2017",-10.4,1971,3.7,2017,-14.4,1983,2.6,2017,-20.8,1983,15.6,1967
03-02,78,6.2,2022,-13.3,1971,4.5,1995,-17.2,1987,2.7,1995,-21.5,1951,25.3,2016
03-03,78,9.0,1992,-14.9,1987,4.2,1992,-18.5,1987,2.2,"1997, 2020",-23.9,1955,15.0,1954
03-04,78,7.5,1959,-13.8,1963,4.5,2020,-17.4,1963,3.2,2020,-21.4,1963,12.2,2007
